Data,PUN,PSV
21/01/2026,0.148,0.414
22/01/2026,0.153,0.430
23/01/2026,0.158,0.439
24/01/2026,0.158,0.449
25/01/2026,0.129,0.449
26/01/2026,0.129,0.449
27/01/2026,0.149,0.459
28/01/2026,0.15,0.442
29/01/2026,0.15,0.429
30/01/2026,0.146,0.444
31/01/2026,0.132,0.422
01/02/2026,0.118,0.422
02/02/2026,0.118,0.422
03/02/2026,0.14,0.378
04/02/2026,0.135,0.354
05/02/2026,0.135,0.364
06/02/2026,0.129,0.378
07/02/2026,0.112,0.381
08/02/2026,0.112,0.381
09/02/2026,0.137,0.381
10/02/2026,0.128,0.363
11/02/2026,0.274,0.354
12/02/2026,0.267,0.355
13/02/2026,0.260,0.355
13/02/2026,N/D,0.355
13/02/2026,N/D,0.355
13/02/2026,N/D,0.355
14/02/2026,0.1091,0.352
14/02/2026,0.1091,0.352
14/02/2026,0.1091,0.352
15/02/2026,0.1085,0.352
16/02/2026,0.1132,0.352
17/02/2026,0.1132,0.339
18/02/2026,0.1129,0.333
19/02/2026,0.1121,0.333
20/02/2026,0.1083,0.333
21/02/2026,0.1083,0.355
22/02/2026,0.1083,0.355
23/02/2026,0.105,0.355
24/02/2026,0.1096,0.348
25/02/2026,0.1075,0.343
26/02/2026,0.1048,0.342
27/02/2026,0.1075,0.341
28/02/2026,0.1075,0.365
01/03/2026,0.1075,0.365
02/03/2026,0.1204,0.365
03/03/2026,0.1252,0.365
04/03/2026,0.1252,0.610
05/03/2026,0.1519,0.526
06/03/2026,0.1519,0.544
07/03/2026,0.1406,0.573
08/03/2026,0.1406,0.573
09/03/2026,0.1562,0.573
10/03/2026,0.1685,0.631
11/03/2026,0.1478,0.529
12/03/2026,0.1478,0.541
13/03/2026,0.1466,0.551
14/03/2026,0.1466,0.549
15/03/2026,0.1466,0.549
16/03/2026,0.1433,0.549
17/03/2026,0.143,0.570
18/03/2026,0.143,0.574
19/03/2026,0.1392,0.604
20/03/2026,0.1575,0.604
21/03/2026,0.1575,0.665
22/03/2026,0.1486,0.665
23/03/2026,0.1652,0.665
24/03/2026,0.1399,0.621
25/03/2026,0.1381,0.593
26/03/2026,0.144,0.559
27/03/2026,0.1483,0.609
